,predict
0,0.42567247
1,0.28647682
2,0.24408516
3,0.16374515
4,0.10780152
5,0.08603235
6,0.11248009
7,0.09587176
8,0.07954803
9,0.11715625
10,0.11961328
11,0.06338417
12,0.1094394
13,0.16739182
14,0.13453093
15,0.15486549
16,0.17957339
17,0.18657179
18,0.36701363
19,0.36653
20,0.46752667
21,0.5481485
22,0.53174883
23,0.53081024
24,0.3208087
25,0.22410071
26,0.19621018
27,0.14637327
28,0.11431353
29,0.0817041
30,0.08320526
31,0.076910116
32,0.067145705
33,0.06748027
34,0.09835693
35,0.09697297
36,0.18492997
37,0.20297593
38,0.18785214
39,0.20149988
40,0.17123213
41,0.1655536
42,0.34640092
43,0.39424306
44,0.46631807
45,0.44825572
46,0.4664749
47,0.49108142
48,0.3984955
49,0.2782535
50,0.24474128
51,0.1602129
52,0.100682095
53,0.07735944
54,0.0774655
55,0.08730179
56,0.11227926
57,0.1075961
58,0.10572679
59,0.15265924
60,0.20256647
61,0.1682209
62,0.14525768
63,0.18154363
64,0.15961418
65,0.16304195
66,0.35142022
67,0.3317696
68,0.31967258
69,0.44024736
70,0.46698445
71,0.54292166
72,0.45290196
73,0.3913021
74,0.2937091
75,0.27745184
76,0.18799117
77,0.13371284
78,0.08559778
79,0.06579372
80,0.074752614
81,0.07015739
82,0.036503047
83,0.0051694512
84,0.1181859
85,0.19591886
86,0.17900978
87,0.16449888
88,0.18350755
89,0.1857271
90,0.35119545
91,0.3435332
92,0.36602977
93,0.5680595
94,0.571237
95,0.5359669
96,0.28889883
97,0.30147254
98,0.30542725
99,0.18948877
100,0.13895318
101,0.0849579
102,0.0803494
103,0.08463694
104,0.082259
105,0.062923886
106,0.03772877
107,0.10738486
108,0.22460052
109,0.17186993
110,0.12305418
111,0.16373631
112,0.20597258
113,0.15913773
114,0.36245233
115,0.30151248
116,0.38578779
117,0.50129324
118,0.499268
119,0.58236444
120,0.3494128
121,0.2974012
122,0.22018906
123,0.14720748
124,0.10366629
125,0.073468015
126,0.07789729
127,0.07097654
128,0.07846756
129,0.07268097
130,0.11448887
131,0.14987713
132,0.21510643
133,0.18303525
134,0.20493212
135,0.22768533
136,0.20467603
137,0.20775342
138,0.37464356
139,0.33374536
140,0.4943269
141,0.53884715
142,0.4860627
143,0.44506812
144,0.3557034
145,0.35551107
146,0.23395014
147,0.12124408
148,0.092600316
149,0.07894261
150,0.0841755
151,0.07261616
152,0.088895015
153,0.084094554
154,0.11761578
155,0.12594502
156,0.20594022
157,0.15171671
158,0.13246492
159,0.1793651
160,0.21272351
161,0.20363599
162,0.3612255
163,0.365352
164,0.42124218
165,0.44247454
166,0.39990753
167,0.46078134
168,0.36052167
169,0.35243782
170,0.2817551
171,0.26582235
172,0.19787095
173,0.13497157
174,0.07633823
175,0.064610295
176,0.09476637
177,0.06817253
178,0.032350354
179,0.053922266
180,0.20276746
181,0.1791155
182,0.17586169
183,0.17526397
184,0.21592525
185,0.21274416
186,0.35541868
187,0.43028605
188,0.49648845
189,0.4487508
190,0.39843762
191,0.4583866
192,0.37439933
193,0.3212071
194,0.23574921
195,0.18659216
196,0.11599806
197,0.0866562
198,0.08636314
199,0.08410193
200,0.09282896
201,0.062106147
202,0.10605496
203,0.1621778
204,0.15024042
205,0.14362182
206,0.16286667
207,0.16176379
208,0.19249424
209,0.21633431
210,0.39710045
211,0.45306414
212,0.53957516
213,0.64135635
214,0.5861743
215,0.45581532
216,0.34990546
217,0.2072932
218,0.12877433
219,0.13350494
220,0.11652784
221,0.10058524
222,0.09279389
223,0.07084837
224,0.05194436
225,0.03791757
226,0.09898853
227,0.13718057
228,0.18412536
229,0.177642
230,0.20327495
231,0.18608966
232,0.1543117
233,0.2085789
234,0.36223996
235,0.39454585
236,0.49437165
237,0.48554814
238,0.4715193
239,0.4881947
240,0.26336288
241,0.22834891
242,0.1742101
243,0.09494363
244,0.07590288
245,0.07966599
246,0.09044154
247,0.07308538
248,0.100962065
249,0.12706192
250,0.1247748
251,0.14929835
252,0.18049468
253,0.16156735
